remaining_time,robot_autonomous,robot_x,robot_y,robot_angle,battery_level,temperature,robot_tank_water_level,ground_tank_water_level,tree0,tree1,tree2,tree3,tree4,tree5,tree6,tree7,tree8,leak0,leak1,leak2,leak3,leak4,leak5,leak6,leak7,leak8,space0,left0,right0,front0,back0,space1,left1,right1,front1,back1,space2,left2,right2,front2,back2,space3,left3,right3,front3,back3,space4,left4,right4,front4,back4,space5,left5,right5,front5,back5,space6,left6,right6,front6,back6,space7,left7,right7,front7,back7,space8,left8,right8,front8,back8,space9,left9,right9,front9,back9,wrench,minus,plus,push,removeAlarm,clickLeak,otherkeyUp,otherkeyDown,otherClick,keyboard,man_auto,auto_man,alarm0,alarm1,alarm2,alarm3,alarm4,alarm5,alarm6,alarm7,score
563,0,15.651581764221193,15.844036102294922,0.8763571977615356,100,50.0,50,20.11111111111104,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,0,15.651581764221193,15.844036102294922,0.8764571547508241,99,50.0,50,18.44444444444438,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
561,0,15.651581764221193,15.844036102294922,0.8765565156936646,100,50.0,50,16.777777777777718,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,0,15.651581764221193,15.844036102294922,0.8766553997993469,99,50.0,50,15.611111111111054,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,0,15.651581764221193,15.844036102294922,0.8767568469047546,100,50.0,50,14.777777777777724,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,0,15.651581764221193,15.844036102294922,0.876857340335846,99,50.0,50,13.944444444444395,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,0,15.651581764221193,15.844036102294922,0.8769568800926208,100,50.0,50,12.277777777777724,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,0,15.651581764221193,15.844036102294922,0.8770575523376465,99,50.0,50,10.611111111111057,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,0,15.651581764221193,15.844036102294922,0.8771572709083557,100,50.0,50,8.944444444444388,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,0,15.651581764221193,15.844036102294922,0.8772578239440918,99,50.0,50,7.277777777777718,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
